Nama Sukuk,Nilai Nominal,Interest/ Disc rate,Listing Date,Mature Date
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI B,"368,000,000,000",8.5,2 Aug 2019,1 Aug 2026
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI C,"20,000,000,000",8.7,2 Aug 2019,1 Aug 2029
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI D,"49,000,000,000",9.5,2 Aug 2019,1 Aug 2034
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI E,"539,000,000,000",9.975,2 Aug 2019,1 Aug 2039
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI A,"6,500,000,000",7.9,2 Oct 2019,1 Oct 2024
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI B,"10,000,000,000",8.4,2 Oct 2019,1 Oct 2026
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI C,"92,000,000,000",8.6,2 Oct 2019,1 Oct 2029
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI D,"135,000,000,000",9.4,2 Oct 2019,1 Oct 2034
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI E,"554,000,000,000",9.9,2 Oct 2019,1 Oct 2039
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI A,"40,500,000,000",7.7,19 Feb 2020,18 Feb 2027
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI B,"3,500,000,000",8.0,19 Feb 2020,18 Feb 2030
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI C,"9,000,000,000",8.7,19 Feb 2020,18 Feb 2035
SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI D,"62,500,000,000",9.05,19 Feb 2020,18 Feb 2040
SUKUK IJARAH BERKELANJUTAN III SAMATOR INDO GAS TAHAP I TAHUN 2023 SERI A,"35,500,000,000",7.4,11 Oct 2023,10 Oct 2026
SUKUK IJARAH BERKELANJUTAN III SAMATOR INDO GAS TAHAP I TAHUN 2023 SERI B,"34,500,000,000",7.9,11 Oct 2023,10 Oct 2028
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI A,"680,915,000,000",6.75,2 Sep 2022,1 Sep 2025
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI B,"421,300,000,000",7.4,2 Sep 2022,1 Sep 2027
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI C,"135,135,000,000",7.9,2 Sep 2022,1 Sep 2029
SUKUK IJARAH BERKELANJUTAN III XL AXIATA TAHAP I TAHUN 2022 SERI D,"262,650,000,000",8.25,2 Sep 2022,1 Sep 2032
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI A,"392,290,000,000",9.25,7 Jul 2023,16 Jul 2024
SUKUK IJARAH BERKELANJUTAN IV GLOBAL MEDIACOM TAHAP I TAHUN 2023 SERI B,"442,360,000,000",10.25,7 Jul 2023,6 Jul 2026
